p_mH1	p_mH2	p_mH3	p_mA	p_mHc	p_tbeta	p_a1	p_a2	p_a3	p_m12sq	p_vs	p_THDMtype	p_L1	p_L2	p_L3	p_L4	p_L5	p_L6	p_L7	p_L8	p_u11sq	p_u22sq	p_ussq	s_sH1	s_sH2	s_sH3	s_uni	s_S	s_T	s_U	s_HB_ch_id	mu_F	mu_V	mu_gamgam	mu_ZZ	mu_WW	mu_tautau	mu_bb	x_H1_ggF	w_H1	b_H1_bb	b_H1_tautau	b_H1_cc	b_H1_ss	b_H1_mumu	b_H1_gg	b_H1_gamgam	b_H1_Zgam	b_H1_WW	b_H1_ZZ	b_H1_ZA	b_H1_AA	c_H1_top	c_H1_bot	c_H1_lep	c_H1_VV	c_H1_ZA	x_H2_ggF	w_H2	b_H2_tt	b_H2_bb	b_H2_tautau	b_H2_cc	b_H2_ss	b_H2_mumu	b_H2_gg	b_H2_gamgam	b_H2_Zgam	b_H2_WW	b_H2_ZZ	b_H2_ZA	b_H2_WpHm	b_H2_HpHm	b_H2_AA	b_H2_H1H1	c_H2_top	c_H2_bot	c_H2_lep	c_H2_VV	c_H2_ZA	x_H3_ggF	w_H3	b_H3_tt	b_H3_bb	b_H3_tautau	b_H3_cc	b_H3_ss	b_H3_mumu	b_H3_gg	b_H3_gamgam	b_H3_Zgam	b_H3_WW	b_H3_ZZ	b_H3_ZA	b_H3_WpHm	b_H3_HpHm	b_H3_AA	b_H3_H1H1	b_H3_H2H2	b_H3_H1H2	c_H3_top	c_H3_bot	c_H3_lep	c_H3_VV	c_H3_ZA	x_A_ggF	w_A	b_A_tt	b_A_bb	b_A_tautau	b_A_cc	b_A_ss	b_A_mumu	b_A_gg	b_A_gamgam	b_A_Zgam	b_A_WpHm	b_A_ZH1	b_A_ZH2	b_A_ZH3	c_A_top	c_A_bot	c_A_lep	w_Hc	b_Hc_tb	b_Hc_ts	b_Hc_cb	b_Hc_cs	b_Hc_taunu	b_Hc_WA	b_Hc_WH1	b_Hc_WH2	b_Hc_WH3
125	616.43	764.188	702.815	792.706	1.21868	0.959283	-0.507175	-0.798399	210683	214.082	2	2.57858	3.24155	7.40283	-5.50566	-1.06277	8.07172	1.19887	5.21628	182801	-15431.7	-293890	0.235914	0.391976	0.37211	6.59639	0.0200011	0.116472	-0.000521404	523	0.870609	0.759723	0.902565	0.96814	0.968001	0.797478	0.798734	37.9922	0.0027792	0.542576	0.0582576	0.0363263	0.000205615	0.000206252	0.0988229	0.00240308	0.00167742	0.230712	0.0288126	0	0	0.925821	0.791123	0.791123	0.871621	-0.0660531	0.0387861	29.2169	0.0161405	0.000444175	6.45988e-05	3.33569e-07	1.63948e-07	2.28437e-07	3.95752e-05	2.00987e-06	4.78371e-06	0.372092	0.180396	0	0	0	0	0.430816	0.149797	-1.21562	-1.21562	-0.399624	-0.669571	0.435234	51.3669	0.45985	7.7114e-05	1.17624e-05	8.03779e-06	2.77555e-08	4.15941e-08	0.000929734	1.28128e-06	9.40311e-08	0.210992	0.103353	1.21652e-05	0	0	2.1624e-11	0.181372	0	0.0433925	0.890915	-0.617726	-0.617726	0.283863	-0.739805	0.839919	22.5638	0.977587	0.000652765	9.58536e-05	1.45935e-05	2.45997e-07	3.38949e-07	0.00250556	7.30284e-06	2.32895e-06	0	0.018912	0.000221787	0	0.820557	1.21868	1.21868	27.8978	0.856518	0.00139932	9.8282e-07	1.20339e-05	8.74425e-05	0.0051416	0.0229251	0.113849	4.97438e-07	
125	531.763	841.942	755.471	689.432	1.34872	1.03102	-0.308471	-1.06249	238051	629.825	2	4.23356	1.768	-1.91206	1.94443	-1.20911	0.881763	-1.01157	1.44666	499234	-132317	-192276	0.0921744	0.692781	0.215045	4.23308	0.0149352	0.0843234	-0.000163091	401	1.0531	0.899095	1.18122	1.2312	1.23102	0.925573	0.927564	45.9435	0.00312843	0.5209	0.0558981	0.0389777	0.000197668	0.000197899	0.106596	0.00260001	0.00178413	0.242557	0.0302919	0	0	1.01748	0.822185	0.822185	0.948206	-0.0934375	0.00446843	12.0486	0.00100006	0.000557596	7.90643e-05	2.52857e-08	2.06169e-07	2.79596e-07	3.24134e-06	1.91183e-06	6.04905e-06	0.339987	0.163183	0	0	0	0	0.495182	0.0281705	-0.92985	-0.92985	-0.311668	-0.458347	0.163179	25.6318	0.679029	0.000566257	8.70107e-05	1.13116e-05	2.07038e-07	3.07684e-07	0.00126295	3.18595e-06	6.02225e-07	0.0267618	0.0131539	0.000355136	0.261054	0	2.72818e-11	0.0020164	0	0.0156982	0.716707	-1.13068	-1.13068	0.061384	-0.883848	0.450263	23.39	0.827116	0.000817991	0.000121739	1.22141e-05	3.07217e-07	4.30481e-07	0.00199982	5.81193e-06	1.90299e-06	0.000215486	0.0463237	0.123385	0	0.741444	1.34872	1.34872	18.7475	0.904323	0.00147694	1.58062e-06	1.31016e-05	0.000138608	0	0.0432909	0.0506863	0	
125	508.019	891.808	619.931	581.792	1.28948	0.979913	0.00740908	0.528906	75787.3	410.135	2	7.82555	2.01593	2.59156	-2.24979	-3.76455	3.91473	3.1005	-1.68494	-187296	201290	-332646	5.48935e-05	0.254596	0.745349	7.7612	0.00218741	0.0145952	-4.25184e-06	401	1.12133	0.995227	1.13756	1.24412	1.24394	1.03289	1.03439	48.9363	0.00364898	0.545547	0.0585838	0.0356468	0.000206682	0.000207407	0.0968592	0.00235156	0.00166047	0.23019	0.0287473	0	0	1.05088	0.909039	0.909039	0.997611	-0.0686881	1.51386	5.25825	0.931709	0.00194959	0.000275593	2.57027e-05	7.14136e-07	9.74588e-07	0.00290019	1.10988e-05	4.53516e-06	0.0274182	0.0131109	0	0	0	0	0.0225931	0.604727	-1.17336	-1.17336	-0.0630339	-0.861063	0.0299153	55.1681	0.086694	9.93911e-05	1.53954e-05	1.41103e-06	3.64095e-08	5.44404e-08	0.000153666	5.38549e-07	2.47423e-07	0.00315525	0.00155356	0.12293	0.364114	0	8.43551e-08	0.000436052	0	0.420847	-0.362451	0.677966	0.677966	0.0282787	0.503837	1.53959	18.0551	0.957544	0.000821186	0.000118295	1.4663e-05	3.08903e-07	4.18306e-07	0.00273413	8.01361e-06	2.42902e-06	1.23358e-05	0.0167453	0.0219987	0	0.775507	1.28948	1.28948	15.7272	0.982184	0.00160429	1.49735e-06	1.47512e-05	0.000127449	0	0.0157387	0.000254187	0	
125	781.403	920.638	922.227	815.66	1.94636	1.10157	0.0677238	0.534243	229008	564.48	2	6.89409	0.849389	1.8042	1.37634	-4.74438	2.45609	1.08564	-0.755017	266641	227497	-380087	0.00457951	0.258087	0.737334	7.00377	0.00332311	0.00329607	1.19722e-06	481	1.01276	0.995392	1.00782	1.02695	1.0268	1.00543	1.00566	44.2302	0.00399329	0.587255	0.0631397	0.0295222	0.000221841	0.000223536	0.07913	0.00230671	0.00155092	0.210377	0.026273	0	0	1.00045	0.987244	0.987244	0.997693	-0.00536883	0.0786053	5.52412	0.902421	0.00569122	0.000860879	1.55824e-05	2.09641e-06	3.04422e-06	0.0017716	6.49592e-06	3.08762e-06	0.0398918	0.0195572	0	0	0	0	0.0297762	0.402997	-1.71384	-1.71384	-0.0390888	-0.860456	0.0189785	6.38544	0.596346	0.00168517	0.000261812	9.59573e-06	6.19592e-07	9.25805e-07	0.00102554	2.35831e-06	1.79703e-07	0.115881	0.0571069	0	0.0549899	0	0	0.0561188	0	0.116572	-0.31727	0.936159	0.936159	-0.0555014	0.509496	0.0657547	14.6928	0.763692	0.00319447	0.000492692	1.1048e-05	1.19039e-06	1.74221e-06	0.00158552	4.56967e-06	1.59843e-06	0.102172	0.000462984	0.12838	1.92214e-13	0.513781	1.94636	1.94636	9.69339	0.997133	0.0016237	7.25639e-06	1.51742e-05	0.000660504	0	0.000477838	4.97672e-06	0	
125	645.683	996.461	870.982	851.302	0.92019	0.722932	0.11646	0.934802	256798	279.726	2	2.77673	7.46493	2.96574	-2.8992	-4.01937	7.82109	2.53876	-5.39027	146323	451155	-272800	0.0135016	0.638453	0.348046	7.91177	0.00215763	0.00508926	-3.02572e-05	481	0.951512	0.986066	0.916787	0.933585	0.933451	0.969775	0.969545	41.5696	0.00408833	0.602608	0.0648207	0.0271308	0.000227389	0.000229488	0.0722689	0.00223341	0.00149771	0.203561	0.0254219	0	0	0.970423	1.01213	1.01213	0.993009	0.0207833	0.429289	8.19946	0.894907	0.000437604	6.46108e-05	1.76691e-05	1.59139e-07	2.28479e-07	0.00210105	8.63539e-06	4.46076e-06	0.0632233	0.0307317	0	0	0	0	0.00850394	0.56645	-0.629281	-0.629281	-0.0810285	-0.595803	0.108227	50.3035	0.757028	0.000110009	1.7499e-05	1.18835e-05	3.95959e-08	6.18788e-08	0.00123312	3.16553e-06	6.54199e-07	0.044921	0.0221809	0.0176844	0.0944634	0	1.64483e-10	0.0201247	0	0.0422208	-0.958332	0.652949	0.652949	-0.0858368	0.802861	0.408898	53.1543	0.895583	0.000190773	2.87491e-05	1.30181e-05	7.28373e-08	1.0166e-07	0.0019178	5.58899e-06	1.91683e-06	1.46335e-07	0.00159811	0.100661	0	1.08673	0.92019	0.92019	49.3446	0.910132	0.00148752	3.51589e-07	1.25354e-05	3.0269e-05	0	0.00161315	0.0866547	0	
125	428.724	818.177	700.598	708.803	0.954085	0.810134	0.150102	-0.581411	112640	701.566	2	3.53363	0.685756	7.92029	-4.76628	-4.38413	1.03942	-1.69253	0.819132	485759	-73928.6	-240800	0.0223618	0.29488	0.682759	5.80952	-0.0045097	0.0198969	1.33381e-06	481	1.09169	0.975366	1.05088	1.14637	1.1462	1.04309	1.04412	47.655	0.00377854	0.565629	0.0607687	0.033558	0.000214053	0.000215142	0.0907432	0.00223134	0.00157251	0.217861	0.0272077	0	0	1.03757	0.942127	0.942127	0.987606	-0.0476676	6.61677	5.93831	0.97983	0.000622482	8.60394e-05	4.58321e-05	2.24824e-07	3.04273e-07	0.00432824	1.24337e-05	2.64255e-06	0.00601973	0.00282983	0	0	0	0	0.00622213	0.92078	-0.758425	-0.758425	0.0417434	-0.838676	0.0651124	20.6029	0.276024	0.000240719	3.68187e-05	4.65802e-06	8.80273e-08	1.30197e-07	0.000525615	2.99979e-06	2.64993e-06	0.185008	0.0908489	0.0122188	0.0247962	0	7.65262e-10	0.0688467	0	0.341444	0.41735	-0.668929	-0.668929	-0.151299	-0.54254	1.39002	52.2856	0.686138	0.000173326	2.5273e-05	1.02481e-05	6.60617e-08	8.93683e-08	0.00175875	5.13592e-06	1.6359e-06	0	0.00420602	0.307682	0	1.04812	0.954085	0.954085	53.4191	0.652141	0.00106576	2.96474e-07	9.23263e-06	2.50264e-05	9.05523e-10	0.00433219	0.342377	0	
125	403.955	948.877	746.366	689.628	1.06566	0.76634	0.00633087	0.96835	99410.6	690.511	2	7.7351	8.10719	1.70638	-3.22043	-5.91312	0.838661	2.03844	-2.01551	-370123	548574	-196391	4.00794e-05	0.678869	0.321091	7.7975	0.00445169	0.0878926	8.98478e-05	401	0.912458	0.997378	0.831047	0.860219	0.860095	0.955912	0.955231	39.8789	0.00430372	0.619123	0.0666288	0.0247521	0.000233357	0.000235889	0.0654697	0.00211118	0.00142715	0.195592	0.0244266	0	0	0.951008	1.05284	1.05284	0.998688	0.0508108	2.83904	1.54659	0.929232	0.001333	0.000181905	6.08395e-05	4.83901e-07	6.43303e-07	0.00513598	1.50662e-05	3.18935e-06	0.00600864	0.00280402	0	0	0	0	0.0552241	0.554892	-0.579785	-0.579785	0.0235835	-0.566193	0.105618	98.449	0.266083	8.7842e-05	1.38e-05	4.23877e-06	3.19094e-08	4.87988e-08	0.000450127	1.22609e-06	3.0749e-07	0.0055335	0.00272909	0.0757529	0.346646	0	7.62916e-17	9.13555e-06	0.0233134	0.279376	-0.817465	0.831274	0.831274	-0.0454493	0.822705	0.771545	44.7394	0.684479	0.000265627	3.9255e-05	1.01246e-05	1.00651e-07	1.3881e-07	0.00166616	4.85464e-06	1.58245e-06	4.4197e-05	0.00688265	0.306607	0	0.938387	1.06566	1.06566	36.0115	0.753936	0.00123197	5.2549e-07	1.07642e-05	4.50615e-05	0	0.00667077	0.238048	0	
125	560.908	825.269	580.525	556.204	2.19155	1.1365	0.277026	0.729246	146270	1420.19	2	4.18598	1.98824	-4.66586	1.74473	0.831051	0.238368	0.711722	-0.60933	-366672	642336	-228837	0.0748003	0.410757	0.514443	5.59707	0.0144771	0.0397973	-0.000113214	481	0.9301	0.925164	0.938473	0.915138	0.915006	0.940131	0.94011	40.6276	0.00382509	0.597764	0.0642859	0.0283267	0.000225675	0.000227594	0.0756758	0.00233887	0.00152928	0.204133	0.0254932	0	0	0.959126	0.974959	0.974959	0.961854	0.00597972	0.0751165	3.49854	0.131497	0.0076383	0.00109337	3.05443e-06	2.82106e-06	3.86646e-06	0.000363006	6.19385e-06	9.47704e-06	0.452496	0.218047	0	9.56236e-10	0	0	0.18884	0.163167	-1.81423	-1.81423	-0.177594	-0.746795	0.093101	54.8147	0.157622	0.000318594	4.86929e-05	2.64931e-06	1.16977e-07	1.72186e-07	0.000297154	4.91862e-07	8.63283e-08	0.13511	0.0663655	0.152391	0.418445	0	2.56294e-07	0.0593158	0	0.0100834	-0.511529	1.24936	1.24936	-0.208078	0.665027	0.786542	5.62942	0.988429	0.00715801	0.00102625	1.5411e-05	2.66358e-06	3.62897e-06	0.00302513	8.84736e-06	2.59871e-06	3.94176e-06	0.000324344	3.02649e-07	0	0.456298	2.19155	2.19155	5.12316	0.996877	0.00161967	1.25914e-05	1.73798e-05	0.00108042	0	0.00031328	0	0	
125	441.359	815.587	613.13	629.733	1.42563	0.985049	-0.297567	0.0506457	46396.4	576.34	2	4.92027	1.73777	9.55235	-5.26325	-4.58126	1.83113	1.46671	1.19645	-220623	-198493	-343020	0.0859633	0.00234249	0.911694	7.89104	0.00112506	0.0388645	-0.00011596	481	0.959266	0.913421	0.916417	1.00348	1.00334	0.930487	0.931052	41.8838	0.00355206	0.574006	0.061692	0.0314014	0.00021703	0.000218411	0.0845529	0.00221446	0.00156	0.217034	0.0271043	0	0	0.97313	0.920368	0.920368	0.955731	-0.0248047	3.39514	3.82041	0.990714	0.00357235	0.000492847	4.09198e-05	1.30929e-06	1.74291e-06	0.00407065	1.30023e-05	3.38646e-06	0.000727099	0.00034294	0	0	0	0	1.97361e-05	0.689505	-1.43495	-1.43495	-0.011074	-0.998767	0.0268195	32.3067	0.0700704	4.37889e-05	6.6051e-06	1.18423e-06	1.64215e-08	2.33568e-08	0.000135148	4.47302e-08	1.17351e-06	0.441215	0.216637	0.00059309	0.000979755	0	1.64462e-07	0.262762	0	0.00755469	0.263865	0.35535	0.35535	0.294034	0.0430098	1.34489	19.1561	0.729556	0.000935801	0.000134789	1.12027e-05	3.50968e-07	4.76631e-07	0.00210637	6.17201e-06	1.86168e-06	0	0.0019818	0.265265	0	0.701444	1.42563	1.42563	21.7611	0.633863	0.00103499	1.40567e-06	9.41713e-06	0.000121867	7.51775e-08	0.00194275	0.362978	0	
125	468.796	905.817	943.695	956.283	1.08695	0.901572	0.415332	1.30962	287547	812.455	2	4.68633	3.92789	8.52466	-5.97034	-5.1799	0.333391	0.381405	-1.05907	164694	586132	-97967.9	0.162807	0.781373	0.0558198	7.66054	0.01257	-0.00522568	-0.000521837	401	0.965649	0.832551	0.977137	1.05644	1.05628	0.891798	0.893147	42.141	0.00309575	0.546997	0.0587359	0.0361778	0.00020726	0.000207946	0.0983604	0.00234558	0.00164636	0.226976	0.028346	0	0	0.975126	0.838384	0.838384	0.912442	-0.0681342	0.224182	10.0651	0.0399248	0.000300371	4.15644e-05	1.34325e-06	1.11764e-07	1.46987e-07	0.000139253	1.3724e-06	1.00189e-05	0.459161	0.217944	0	0	0	0	0.282476	-0.197761	-0.656292	-0.656292	-0.407956	-0.228471	0.178288	33.0561	0.961226	0.000381754	5.9495e-05	1.55557e-05	1.38877e-07	2.10383e-07	0.00168749	4.75651e-06	1.34167e-06	0.00705852	0.00347694	0	0	0	0	0.00282702	0	0.0232606	-0.925435	1.02365	1.02365	-0.0319591	0.971164	0.179106	43.7994	0.839049	0.00034391	5.2745e-05	1.21172e-05	1.30152e-07	1.86511e-07	0.00168553	4.90995e-06	1.72526e-06	0	0.026909	0.131939	1.89199e-06	0.920006	1.08695	1.08695	43.5345	0.826036	0.00134988	5.94758e-07	1.12974e-05	5.37738e-05	9.50306e-09	0.028416	0.144059	1.12741e-05	
